,Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
64,3/5/20,57,Pala Airpad,06-073-1201,AQS,81,21,54.4,3/5/17,3/5/05
65,3/6/20,68,Pala Airpad,06-073-1201,AQS,77,21,41,3/6/15,3/6/18
66,3/7/20,65,Pala Airpad,06-073-1201,AQS,61,25,38.8,3/7/04,3/7/16
67,3/8/20,46,Pala Airpad,06-073-1201,AQS,76,24,37.6,3/8/05,3/8/19
68,3/9/20,26,Donovan,06-073-1014,AQS,89,29,48,3/9/05,3/9/19
69,3/10/20,21,Donovan,06-073-1014,AQS,96,28,61.6,3/10/15,3/10/06
70,3/11/20,20,Pala Airpad,06-073-1201,AQS,88,17,57,3/11/15,3/11/06
71,3/12/20,27,Donovan,06-073-1014,AQS,95,4,54.8,3/12/04,3/12/00
72,3/13/20,22,El Cajon - Lexington Elementary School,06-073-1022,AQS,85,31,57.2,3/13/03,3/13/06
73,3/14/20,29,San Diego - Sherman Elementary School,06-073-1026,AQS,155,26,38.2,3/14/09,3/14/16
74,3/15/20,37,Pala Airpad,06-073-1201,AQS,93,24,43.6,3/15/00,3/15/19
75,3/16/20,35,Pala Airpad,06-073-1201,AQS,102,25,54.8,3/16/04,3/16/08
76,3/17/20,39,Pala Airpad,06-073-1201,AQS,91,23,50.4,3/17/00,3/17/02
77,3/18/20,22,El Cajon - Lexington Elementary School,06-073-1022,AQS,90,18,52.8,3/18/04,3/18/18
78,3/19/20,22,San Diego - Sherman Elementary School,06-073-1026,AQS,109,24,53.6,3/19/04,3/19/05
79,3/20/20,26,Pala Airpad,06-073-1201,AQS,111,29,52,3/20/04,3/20/07
80,3/21/20,30,El Cajon - Lexington Elementary School,06-073-1022,AQS,113,18,46.2,3/21/04,3/21/17
81,3/22/20,26,Pala Airpad,06-073-1201,AQS,106,23,39.8,3/22/04,3/22/17
82,3/23/20,26,Pala Airpad,06-073-1201,AQS,72,20,38.8,3/23/04,3/23/05
83,3/24/20,19,Pala Airpad,06-073-1201,AQS,90,21,40.4,3/24/01,3/24/05
84,3/25/20,22,Pala Airpad,06-073-1201,AQS,76,27,45.8,3/25/08,3/25/17
85,3/26/20,21,Pala Airpad,06-073-1201,AQS,80,25,48,3/26/14,3/26/12
86,3/27/20,23,San Diego - Sherman Elementary School,06-073-1026,AQS,69,23,54.2,3/27/19,3/27/07
87,3/28/20,37,San Diego - Sherman Elementary School,06-073-1026,AQS,89,29,54.4,3/28/01,3/28/10
88,3/29/20,47,San Diego - Sherman Elementary School,06-073-1026,AQS,96,20,47.4,3/29/01,3/29/06
89,3/30/20,58,Pala Airpad,06-073-1201,AQS,102,30,55.8,3/30/01,3/30/16
90,3/31/20,60,Donovan,06-073-1014,AQS,93,26,56,3/31/02,3/31/06
91,4/1/20,67,Donovan,06-073-1014,AQS,94,27,61.4,4/1/02,4/1/10
92,4/2/20,62,Pala Airpad,06-073-1201,AQS,84,24,61.4,4/2/02,4/2/03
93,4/3/20,66,Pala Airpad,06-073-1201,AQS,75,25,57.4,4/3/02,4/3/08
94,4/4/20,69,Pala Airpad,06-073-1201,AQS,92,27,49.2,4/4/00,4/4/17
95,4/5/20,64,Pala Airpad,06-073-1201,AQS,74,23,49.8,4/5/00,4/5/19
96,4/6/20,47,Pala Airpad,06-073-1201,AQS,73,19,48.8,4/6/00,4/6/19
97,4/7/20,13,Pala Airpad,06-073-1201,AQS,83,30,53.4,4/7/00,4/7/06
98,4/8/20,15,El Cajon - Lexington Elementary School,06-073-1022,AQS,92,23,46.2,4/8/00,4/8/07
99,4/9/20,18,Pala Airpad,06-073-1201,AQS,75,21,48.8,4/9/02,4/9/06
