,Date,Ozone AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
352,12/18/20,40,Alpine,06-073-1006,AirNow,46,31,42.4,12/18/17,12/18/10
353,12/19/20,44,Alpine,06-073-1006,AirNow,51,31,44.6,12/19/17,12/19/03
354,12/20/20,45,Alpine,06-073-1006,AirNow,61,32,45,12/20/17,12/20/06
355,12/21/20,43,Alpine,06-073-1006,AirNow,44,28,40,12/21/09,12/21/06
356,12/22/20,44,Alpine,06-073-1006,AirNow,58,25,41,12/22/17,12/22/05
357,12/23/20,44,Alpine,06-073-1006,AirNow,58,31,44,12/23/17,12/23/05
358,12/24/20,41,Alpine,06-073-1006,AirNow,50,33,43.2,12/24/17,12/24/08
359,12/25/20,42,Alpine,06-073-1006,AirNow,64,31,44.8,12/25/17,12/25/12
360,12/26/20,44,Alpine,06-073-1006,AirNow,50,33,41.2,12/26/17,12/26/11
361,12/27/20,36,Alpine,06-073-1006,AirNow,67,26,43.6,12/27/17,12/27/01
362,12/28/20,41,Camp Pendleton,06-073-1008,AirNow,47,27,40.8,12/28/17,12/28/11
363,12/29/20,37,Alpine,06-073-1006,AirNow,46,29,41.2,12/29/17,12/29/01
364,12/30/20,37,Alpine,06-073-1006,AirNow,64,30,45,12/30/17,12/30/03
365,12/31/20,38,Alpine,06-073-1006,AirNow,47,28,41.4,12/31/06,12/31/01
0,1/1/21,39,Alpine,06-073-1006,AirNow,54,32,43.4,1/1/18,1/1/02
1,1/2/21,42,Alpine,06-073-1006,AirNow,48,34,43.4,1/2/18,1/2/02
2,1/3/21,42,Alpine,06-073-1006,AirNow,45,31,41.4,1/3/15,1/3/02
3,1/4/21,40,Alpine,06-073-1006,AirNow,48,33,40.8,1/4/01,1/4/02
4,1/5/21,40,Alpine,06-073-1006,AirNow,44,31,37.8,1/5/16,1/5/11
5,1/6/21,39,Alpine,06-073-1006,AirNow,46,31,40,1/6/01,1/6/05
6,1/7/21,39,Alpine,06-073-1006,AirNow,47,33,39.8,1/7/01,1/7/09
10,1/11/21,42,Alpine,06-073-1006,AirNow,61,21,37.4,1/11/14,1/11/12
11,1/12/21,45,Alpine,06-073-1006,AirNow,64,30,41,1/12/14,1/12/11
12,1/13/21,43,Alpine,06-073-1006,AirNow,46,31,41.8,1/13/16,1/13/10
13,1/14/21,40,Alpine,06-073-1006,AirNow,50,35,42.4,1/14/18,1/14/15
14,1/15/21,44,Alpine,06-073-1006,AirNow,51,33,41.6,1/15/18,1/15/04
15,1/16/21,51,Alpine,06-073-1006,AirNow,54,34,42.6,1/16/18,1/16/13
16,1/17/21,45,Kearny Villa Rd.,06-073-1016,AirNow,48,32,41.8,1/17/18,1/17/19
17,1/18/21,44,Alpine,06-073-1006,AirNow,58,32,41.6,1/18/04,1/18/00
18,1/19/21,40,Alpine,06-073-1006,AirNow,49,32,40.8,1/19/04,1/19/01
19,1/20/21,38,Alpine,06-073-1006,AirNow,48,29,41.2,1/20/03,1/20/00
20,1/21/21,36,Alpine,06-073-1006,AirNow,49,31,44.2,1/21/15,1/21/12
21,1/22/21,37,Chula Vista,06-073-0001,AirNow,49,33,42,1/22/14,1/22/09
22,1/23/21,34,Alpine,06-073-1006,AirNow,46,21,42.8,1/23/17,1/23/09
23,1/24/21,40,Chula Vista,06-073-0001,AirNow,101,23,54,1/24/19,1/24/13
24,1/25/21,42,Chula Vista,06-073-0001,AirNow,45,23,42.2,1/25/07,1/25/13
25,1/26/21,40,Alpine,06-073-1006,AirNow,47,31,43,1/26/07,1/26/01
26,1/27/21,41,Alpine,06-073-1006,AirNow,48,33,42.4,1/27/03,1/27/15
27,1/28/21,40,Alpine,06-073-1006,AirNow,49,36,43,1/28/14,1/28/13
28,1/29/21,37,Chula Vista,06-073-0001,AirNow,84,36,42.2,1/29/14,1/29/02
29,1/30/21,41,Alpine,06-073-1006,AirNow,54,28,38.6,1/30/06,1/30/15
30,1/31/21,41,Alpine,06-073-1006,AirNow,48,32,41.2,1/31/17,1/31/03
31,2/1/21,35,Alpine,06-073-1006,AirNow,71,33,46.6,2/1/18,2/1/00
32,2/2/21,35,Kearny Villa Rd.,06-073-1016,AirNow,50,36,43.2,2/2/18,2/2/13
33,2/3/21,38,Alpine,06-073-1006,AirNow,101,38,54.6,2/3/18,2/3/03
34,2/4/21,43,Alpine,06-073-1006,AirNow,101,35,55,2/4/18,2/4/04
35,2/5/21,48,Alpine,06-073-1006,AirNow,108,36,64.4,2/5/15,2/5/00
36,2/6/21,58,Alpine,06-073-1006,AirNow,67,37,49.4,2/6/15,2/6/08
37,2/7/21,77,Alpine,06-073-1006,AirNow,50,34,45.6,2/7/07,2/7/00
38,2/8/21,51,Alpine,06-073-1006,AirNow,51,22,44.6,2/8/18,2/8/00
39,2/9/21,40,Alpine,06-073-1006,AirNow,101,31,53.2,2/9/18,2/9/07
40,2/10/21,43,Alpine,06-073-1006,AirNow,80,31,52.4,2/10/18,2/10/07
41,2/11/21,48,Kearny Villa Rd.,06-073-1016,AirNow,58,31,48.8,2/11/16,2/11/03
42,2/12/21,37,Chula Vista,06-073-0001,AirNow,100,25,56.4,2/12/16,2/12/03
43,2/13/21,38,Chula Vista,06-073-0001,AirNow,154,32,69.6,2/13/16,2/13/03
44,2/14/21,42,Alpine,06-073-1006,AirNow,115,24,62.4,2/14/16,2/14/00
45,2/15/21,40,Alpine,06-073-1006,AirNow,74,31,50.8,2/15/15,2/15/05
46,2/16/21,40,Alpine,06-073-1006,AirNow,71,31,53.2,2/16/15,2/16/05
47,2/17/21,46,Chula Vista,06-073-0001,AirNow,61,33,50.2,2/17/10,2/17/03
48,2/18/21,43,Alpine,06-073-1006,AirNow,74,35,49.2,2/18/10,2/18/05
49,2/19/21,48,Alpine,06-073-1006,AirNow,64,38,55.2,2/19/17,2/19/05
50,2/20/21,44,Alpine,06-073-1006,AirNow,64,35,52.2,2/20/17,2/20/05
